eeacellcode	specieskey	species	datasetkey	countrycode	basisofrecord	COUNT(*)
10kmE577N230	3048831	Cakile maritima	6ac3f774-d9fb-4796-b3e9-92bf6c81c084	BG	HUMAN_OBSERVATION	1
10kmE264N177	3048831	Cakile maritima	6ac3f774-d9fb-4796-b3e9-92bf6c81c084	PT	HUMAN_OBSERVATION	1
10kmE396N334	3048831	Cakile maritima	8a863029-f435-446a-821e-275f4f641165	NL	HUMAN_OBSERVATION	218
10kmE400N334	3048831	Cakile maritima	15f819bd-6612-4447-854b-14d12ee1022d	NL	PRESERVED_SPECIMEN	1
10kmE386N317	3048831	Cakile maritima	740df67d-5663-41a2-9d12-33ec33876c47	NL	HUMAN_OBSERVATION	11
10kmE392N314	3048831	Cakile maritima	271c444f-f8d8-4986-b748-e7367755c0c1	BE	PRESERVED_SPECIMEN	1
10kmE402N329	3048831	Cakile maritima	20e3fcbb-c285-49ee-a93d-cc6ccd06ca9e	NL	HUMAN_OBSERVATION	4
10kmE269N203	3048831	Cakile maritima	50c9509d-22c7-4a22-a47d-8c48425ef4a7	PT	HUMAN_OBSERVATION	2
10kmE400N332	3048831	Cakile maritima	8a863029-f435-446a-821e-275f4f641165	NL	HUMAN_OBSERVATION	2
10kmE393N320	3048831	Cakile maritima	8a863029-f435-446a-821e-275f4f641165	NL	HUMAN_OBSERVATION	1
10kmE411N337	3048831	Cakile maritima	8a863029-f435-446a-821e-275f4f641165	NL	HUMAN_OBSERVATION	32
10kmE264N175	3048831	Cakile maritima	7fe3eb5c-42bd-49d7-a30b-82c353ef6575	PT	HUMAN_OBSERVATION	4
10kmE269N203	3048831	Cakile maritima	8a863029-f435-446a-821e-275f4f641165	PT	HUMAN_OBSERVATION	2
10kmE382N315	3048831	Cakile maritima	940821c0-3269-11df-855a-b8a03c50a862	BE	HUMAN_OBSERVATION	1
10kmE388N317	3048831	Cakile maritima	15f819bd-6612-4447-854b-14d12ee1022d	NL	PRESERVED_SPECIMEN	1
10kmE400N337	3048831	Cakile maritima	6ac3f774-d9fb-4796-b3e9-92bf6c81c084	NL	HUMAN_OBSERVATION	2
10kmE382N314	3048831	Cakile maritima	14d5676a-2c54-4f94-9023-1e8dcd822aa0	BE	HUMAN_OBSERVATION	8
10kmE388N315	3048831	Cakile maritima	50c9509d-22c7-4a22-a47d-8c48425ef4a7	NL	HUMAN_OBSERVATION	1
10kmE400N306	3048831	Cakile maritima	84b18cce-083a-4464-bee8-25b2083a17cd	BE	PRESERVED_SPECIMEN	1
10kmE401N337	3048831	Cakile maritima	20e3fcbb-c285-49ee-a93d-cc6ccd06ca9e	NL	HUMAN_OBSERVATION	30
10kmE394N325	3048831	Cakile maritima	20e3fcbb-c285-49ee-a93d-cc6ccd06ca9e	NL	HUMAN_OBSERVATION	5
10kmE395N329	3048831	Cakile maritima	7a3679ef-5582-4aaa-81f0-8c2545cafc81	NL	HUMAN_OBSERVATION	2
10kmE404N337	3048831	Cakile maritima	7a3679ef-5582-4aaa-81f0-8c2545cafc81	NL	HUMAN_OBSERVATION	1
10kmE266N193	3048831	Cakile maritima	2bf7b2c0-34dc-4458-8ee4-4f99fac03b33	PT	HUMAN_OBSERVATION	3
10kmE271N173	3048831	Cakile maritima	50c9509d-22c7-4a22-a47d-8c48425ef4a7	PT	HUMAN_OBSERVATION	1
10kmE274N214	3048831	Cakile maritima	7a3679ef-5582-4aaa-81f0-8c2545cafc81	PT	HUMAN_OBSERVATION	1
10kmE276N174	3048831	Cakile maritima	835ac57e-f762-11e1-a439-00145eb45e9a	PT	PRESERVED_SPECIMEN	1
10kmE388N315	3048831	Cakile maritima	8a863029-f435-446a-821e-275f4f641165	NL	HUMAN_OBSERVATION	104
10kmE397N332	3048831	Cakile maritima	20e3fcbb-c285-49ee-a93d-cc6ccd06ca9e	NL	HUMAN_OBSERVATION	7
10kmE383N314	3048831	Cakile maritima	271c444f-f8d8-4986-b748-e7367755c0c1	BE	HUMAN_OBSERVATION	13
10kmE409N339	3048831	Cakile maritima	8a863029-f435-446a-821e-275f4f641165	NL	HUMAN_OBSERVATION	1
10kmE590N219	3048831	Cakile maritima	14d5676a-2c54-4f94-9023-1e8dcd822aa0	TR	HUMAN_OBSERVATION	1
10kmE266N193	3048831	Cakile maritima	4cf3eec1-b902-40c9-b15b-05c5fe5928b6	PT	HUMAN_OBSERVATION	1
10kmE403N337	3048831	Cakile maritima	14d5676a-2c54-4f94-9023-1e8dcd822aa0	NL	HUMAN_OBSERVATION	6
10kmE383N314	3048831	Cakile maritima	b740eaa0-0679-41dc-acb7-990d562dfa37	BE	PRESERVED_SPECIMEN	5
10kmE662N184	3048831	Cakile maritima	50c9509d-22c7-4a22-a47d-8c48425ef4a7	TR	HUMAN_OBSERVATION	1
10kmE269N175	3048831	Cakile maritima	50c9509d-22c7-4a22-a47d-8c48425ef4a7	PT	HUMAN_OBSERVATION	14
10kmE276N221	3048831	Cakile maritima	14d5676a-2c54-4f94-9023-1e8dcd822aa0	PT	HUMAN_OBSERVATION	3
10kmE403N337	3048831	Cakile maritima	740df67d-5663-41a2-9d12-33ec33876c47	NL	HUMAN_OBSERVATION	23
10kmE407N336	3048831	Cakile maritima	8a863029-f435-446a-821e-275f4f641165	NL	HUMAN_OBSERVATION	6
10kmE636N244	3048831	Cakile maritima	834b7330-f762-11e1-a439-00145eb45e9a	TR	PRESERVED_SPECIMEN	1
10kmE269N175	3048831	Cakile maritima	8a863029-f435-446a-821e-275f4f641165	PT	HUMAN_OBSERVATION	5
10kmE387N317	3048831	Cakile maritima	20e3fcbb-c285-49ee-a93d-cc6ccd06ca9e	NL	HUMAN_OBSERVATION	3
10kmE399N332	3048831	Cakile maritima	740df67d-5663-41a2-9d12-33ec33876c47	NL	HUMAN_OBSERVATION	1
10kmE401N334	3048831	Cakile maritima	14d5676a-2c54-4f94-9023-1e8dcd822aa0	NL	HUMAN_OBSERVATION	4
10kmE265N176	3048831	Cakile maritima	50c9509d-22c7-4a22-a47d-8c48425ef4a7	PT	HUMAN_OBSERVATION	4
